BOOKING_ID,BOOKING_CLASS
AE-5O6EpRi-QQWZBy4R-4GJzZHU,CLASS_B
AE-XcYbz99-KEx0ZXvU-QI1thyD,CLASS_B
AE-cXGjR3F-mtObue3Y-gEgAGWZ,CLASS_B
AE-S4ZrZLM-rVmt1QVx-eIeATHf,CLASS_B
AE-ugw3Mpw-PoMk6h5z-cNunbbx,CLASS_B
AE-m2JfF34-VcFExY0N-1QzBpea,CLASS_B
AE-GyTGcVZ-Xv8OZptp-dMevsp7,CLASS_B
AE-WFl6k3I-2oMnXaz5-4KZ8GNI,CLASS_B
AE-DiENu67-bjDfdi45-Zol8edV,CLASS_B
AE-mm8ccdg-ycUlGgWL-ny3pVkq,CLASS_B
AE-yYJO5v1-6WuNtNPd-TnmTjjw,CLASS_B
AE-SLfxGue-ZJGLJxgY-TgyXXiv,CLASS_B
AE-hmA2cgY-0gsZX1tM-DYpIY5K,CLASS_B
AE-YGj6jt6-fvphVXTD-tjXNpUg,CLASS_B
AE-TtYzBI6-6EbkIGUb-rFDHiGs,CLASS_B
AE-0KMt0HE-X2WECGg3-eT3pWTy,CLASS_C
AE-4jKDwXm-xKkar9GP-oRyLibA,CLASS_C
AE-4Pume0L-yG7d7gcK-NSKr8Bm,CLASS_C
AE-4ZM6G9s-ZW4zyMIG-fpksa5t,CLASS_C
AE-7jeXf2Z-lAyshncS-2ro5Ny6,CLASS_C
AE-aFHZofB-ptoBT2Yz-BCcBKNo,CLASS_C
AE-HCxmAUa-YZT26OT3-J07W2qP,CLASS_C
AE-hG29yYf-riPIByza-PiUuau0,CLASS_C
AE-k8ZeTrC-5zbMweCi-BcC4jJL,CLASS_C
AE-qk79Ffu-an1mIcwt-AUlFICV,CLASS_C
AE-R3JVcFg-MtaBpYa1-AMKWdj4,CLASS_C
AE-X6YiXGF-1wQ6cpFh-rF0OE54,CLASS_C
AE-yj992xU-Hn8HfOVe-Hj32ppU,CLASS_C
