ORIGIN,DESTINATION,FLIGHT_CONFIRMATION_ID,DEPARTING_DATE,RETURNING_DATE,TICKET_CATEGORY,DEPT_FLIGHT_TYPE,DEPT_FIRST_FLIGHT_NO,DEPT_SECOND_FLIGHT_NO,DEPT_THIRD_FLIGHT_NO,DEPT_TRIP_DURATION_HR,RTRN_FLIGHT_TYPE,RTRN_FIRST_FLIGHT_NO,RTRN_SECOND_FLIGHT_NO,RTRN_THIRD_FLIGHT_NO,RTRN_TRIP_DURATION_HR
"Perth, WA, Australia (PER)","Budapest, Hungary (BUD-Ferenc Liszt Intl.)",VFSIUV,2018-01-01,2018-01-07,ROUND-TRIP,LAYOVER,QR 901,QR 199,,20.17,LAYOVER,QR 200,QR 900,,18.83
"New York, NY (JFK-John F. Kennedy Intl.)","Amsterdam, Netherlands (AMS-Schiphol)",VWCIV3,2017-06-10,2017-06-23,ROUND-TRIP,LAYOVER,AA 104,AA 6398,,10.67,LAYOVER,AA 6435,AA 105,,13.25
"New York, NY (JFK-John F. Kennedy Intl.)","Paris, France (CDG-Roissy-Charles de Gaulle)",WAQ5UP,2020-01-13,2020-04-23,ROUND-TRIP,LAYOVER,LH 104,LH 1026,,10.50,LAYOVER,LH 1051,LH 404,,18.17
"San Francisco, CA (SFO-San Francisco Intl.)","Minneapolis, MN (MSP-Minneapolis - St. Paul Intl.)",WFOZ57,2017-09-20,2017-09-24,ROUND-TRIP,LAYOVER,AA 2042,AA 372,,5.88,NONSTOP,DL 1938,,,4.22
"Bucharest, Romania (OTP-Henri Coanda Intl.)","Krakow, Poland (KRK-John Paul II - Balice)",WLKW9A,2019-05-27,2019-05-30,ROUND-TRIP,LAYOVER,KL 2700,KL1999,,14.75,LAYOVER,KL 1996,KL 1379,,5.67
"Indiana, PA (IDI-Indiana County - Jimmy Stewart)","San Diego, CA (SAN-San Diego Intl.)",WOO13U,2016-06-08,2016-06-13,ROUND-TRIP,LAYOVER,DL 2428,DL 1780,,7.00,LAYOVER,AA 2845,AA 3816,,4.25
"Madrid, Spain (MAD-Adolfo Suarez Madrid-Barajas)","Barcelona, Spain (BCN-Barcelona Intl.)",XEAUNW,2017-05-03,2017-05-13,ROUND-TRIP,NONSTOP,VY 1001,,,1.33,NONSTOP,VY 1016,,,1.42
"Buenos Aires, Argentina (EZE-Ministro Pistarini Intl.)","Cartagena, Colombia (CTG-Rafael Nunez Intl.)",XHCEAD,2017-01-15,,ONE-WAY,LAYOVER,AV 218,AV 9540,,9.53,NA,,,,0.00
"Taipei, Taiwan (TPE-Taoyuan Intl.)","Seoul, South Korea (ICN-Incheon Intl.)",XVNT9P,2019-07-26,2019-08-02,ROUND-TRIP,NONSTOP,BR 160,,,2.35,NONSTOP,OZ 713,,,2.67
"Austin, TX (AUS-Austin-Bergstrom Intl.)","Istanbul, Turkey (SAW-Sabiha Gokcen Intl.)",YCJYK6,2018-05-23,2018-06-12,ROUND-TRIP,LAYOVER,AC 7746,AC 882,AC 6694,20.17,LAYOVER,LH 1305,LH 468,,15.83
"Montreal, QC, Canada (YUL-Pierre Elliott Trudeau Intl.)","Santiago, Chile (SCL-Arturo Merino Benitez)",YOK20R,2018-12-15,2018-12-21,ROUND-TRIP,LAYOVER,AA 3447,LA 533,,16.58,LAYOVER,LA 532,DL 5533,,16.90
"San Jose, CA (SJC-Norman Y. Mineta San Jose Intl.)","Anchorage, AK (ANC-Ted Stevens Anchorage Intl.)",ZEIMTV,2019-11-20,2017-11-25,ROUND-TRIP,LAYOVER,AS 365,AS 59,AS 77,13.32,LAYOVER,AS 248,AS 338,,9.32
"Auckland, New Zealand (AKL-Auckland Intl.)","Bilbao, Spain (BIO)",ZFNCYO,2018-06-28,2018-07-28,ROUND-TRIP,LAYOVER,QR 921,QR 147,QR 6965,32.42,LAYOVER,QR 6916,QR 150,QR 920,28.42
"Seoul, South Korea (ICN-Incheon Intl.)","Tokyo, Japan (NRT-Narita Intl.)",ZGEK5M,2019-06-17,,ONE-WAY,NONSTOP,OZ 9601,,,2.33,NA,,,,0.00
"Hanoi, Vietnam (HAN-Noi Bai Intl.)","Hong Kong, Hong Kong SAR (HKG-Hong Kong Intl.)",ZHIWJS,2019-06-07,,ONE-WAY,NONSTOP,HX 529,,,2.00,NA,,,,0.00
"Jakarta, Indonesia (CGK-Soekarno-Hatta Intl.)","Seoul, South Korea (ICN-Incheon Intl.)",ZRNQXW,2018-04-05,2018-04-10,ROUND-TRIP,LAYOVER,TG 436,TG 656,,9.92,LAYOVER,TG 659,TG 435,,10.33
"Tijuana, Baja California Norte, Mexico (TIJ-General Abelardo L. Rodriguez Intl.)","San Jose del Cabo, Baja California Sur, Mexico (SJD-Los Cabos Intl.)",ZWDDAT,2017-07-10,2017-07-11,ROUND-TRIP,NONSTOP,Y4 452,,,2.12,NONSTOP,Y4 451,,,2.12
