HOST_LOCATION_ID,AIR_CONFIRMATION_ID,TOTAL_GUESTS,HOST_ID,RATING_OVERALL,BOOKING_ID
AIR-9E4GKHX9,bri4a0j4-YXIR3mY,4,HST-FWUJIHW,5.00,AE-GZWhHdW-7tD0Yktr-PQPwYjX
AIR-JYCBUDKW,cGs1J0JW-AVM0rlW,1,HST-1J902DZ,5.00,AE-qqirU40-ElaLSf1Z-goAX4ra
AIR-XG51NYNL,cz7upbZQ-j0GYH8Z,7,HST-WETLC8U,5.00,AE-kndTshU-VdDz39mQ-NoJykCc
AIR-8P9LUR1X,d60sFwL6-5sl70St,2,HST-05N60HD,5.00,AE-l0ZaQ8I-NyEcbAaG-OOsfpX3
AIR-JYCBUDKW,dYAcRDbP-3rPkiTM,2,HST-1J902DZ,5.00,AE-1T90ntZ-bTgyp0Xb-F5XIwAL
AIR-3Q116AAP,F6QJERzr-ygjcxSU,2,HST-7MKL0XU,4.00,AE-miFv0Ke-S6NHFHCW-XzajcXY
AIR-D65JXY94,F8rTTSzt-4Uf62bi,7,HST-WWRHBRK,5.00,AE-hG29yYf-riPIByza-PiUuau0
AIR-NO3INSF8,FJwCetUl-CztlTNx,4,HST-47SH0OG,5.00,AE-7jeXf2Z-lAyshncS-2ro5Ny6
AIR-9ELE82U6,HivjrbhT-m1sCCll,19,HST-TZAZDYK,4.33,AE-ZpOXbHq-1z5Z37sq-9jN4Fan
AIR-3Q116AAP,IFeEg88I-cTrrMEA,3,HST-7MKL0XU,5.00,AE-HCxmAUa-YZT26OT3-J07W2qP
AIR-7O1WOD6J,J6W7tmnj-py4uSq3,11,HST-D8HQ15M,5.00,AE-lBxTLQ4-69PZsItJ-XQSzUL4
AIR-OPYNSKLW,JlBrSJ4S-2NSLdad,4,HST-JNMDSKX,5.00,AE-R3JVcFg-MtaBpYa1-AMKWdj4
AIR-B0MS88XS,Kh6ntql2-ZsTItI1,4,HST-Y56N38N,5.00,AE-l7HVcga-DVmaYFh5-uBhr6m3
AIR-A7WZHIE7,kky9m5At-gajL2vE,1,HST-OJIOUG7,5.00,AE-gsyrNoc-QxXFz4jc-JXoOmO9
AIR-JYCBUDKW,KlYHgJuV-WM7EVYd,1,HST-1J902DZ,5.00,AE-iblzu9i-tZzvklX8-VemmsKV
AIR-9ELE82U6,lqxgq2ky-K7mExS4,10,HST-TZAZDYK,5.00,AE-8AraZad-XXXNdFNQ-OSxeqQU
AIR-MCR346GC,MMqkuw84-XoYOYq6,3,HST-WSQ7NHP,5.00,AE-nBVjqzv-MIanalpu-bk4lfFM
AIR-XXFI9KTZ,n2RaFgSw-rI2Rcit,4,HST-NJPU1M7,5.00,AE-YzziJ7n-smPuXsbc-nOrZHSP
AIR-MCR346GC,NcdfdlqV-Wymalqe,2,HST-WSQ7NHP,5.00,AE-5O6EpRi-QQWZBy4R-4GJzZHU
AIR-7O1WOD6J,nmqNSXjc-MMulqAz,12,HST-D8HQ15M,5.00,AE-XcYbz99-KEx0ZXvU-QI1thyD
AIR-BW35LC9Z,nntwjjmb-A16Kp1r,2,HST-59ONWOT,5.00,AE-cXGjR3F-mtObue3Y-gEgAGWZ
AIR-9ELE82U6,peMvY41W-OnsQ5zD,13,HST-TZAZDYK,5.00,AE-S4ZrZLM-rVmt1QVx-eIeATHf
AIR-BZMYJ6KP,Q9CW0x6r-BIFH9II,5,HST-1P8XX62,3.60,AE-ugw3Mpw-PoMk6h5z-cNunbbx
AIR-VET9D87Y,QO68d8fk-obbTyj2,2,HST-I1CHTDQ,3.50,AE-X6YiXGF-1wQ6cpFh-rF0OE54
AIR-6B35HPOM,R72BrCpt-1DHrQQN,3,HST-NWIH8ON,5.00,AE-m2JfF34-VcFExY0N-1QzBpea
AIR-E7E82KIZ,rg2Q7JEU-fxGoaMY,11,HST-KY9AELQ,4.25,AE-qk79Ffu-an1mIcwt-AUlFICV
AIR-XX3A987P,RQkLEabH-DvqiwCK,3,HST-7MKL0XU,4.00,AE-4ZM6G9s-ZW4zyMIG-fpksa5t
AIR-OZVSFUVX,S2ygcmCl-DPFZubf,3,HST-08PO2Z4,5.00,AE-GyTGcVZ-Xv8OZptp-dMevsp7
AIR-8P9LUR1X,Sbh82QTV-Ygu3QVc,3,HST-05N60HD,5.00,AE-WFl6k3I-2oMnXaz5-4KZ8GNI
AIR-8P9LUR1X,USd6xnZh-K0wkilV,3,HST-05N60HD,5.00,AE-DiENu67-bjDfdi45-Zol8edV
AIR-B0MS88XS,WQbfd9AT-0URoFd4,5,HST-Y56N38N,5.00,AE-mm8ccdg-ycUlGgWL-ny3pVkq
AIR-JYCBUDKW,wQJecAIF-LFFYJxQ,4,HST-1J902DZ,5.00,AE-yYJO5v1-6WuNtNPd-TnmTjjw
AIR-XG51NYNL,XlnzSOVS-47kUZtR,9,HST-WETLC8U,5.00,AE-SLfxGue-ZJGLJxgY-TgyXXiv
AIR-BW35LC9Z,xydR3MZY-ndsdOhy,2,HST-59ONWOT,5.00,AE-hmA2cgY-0gsZX1tM-DYpIY5K
AIR-A7WZHIE7,YeJ1YjN1-9ij9YQp,1,HST-OJIOUG7,5.00,AE-YGj6jt6-fvphVXTD-tjXNpUg
AIR-D65JXY94,YjvHAkb1-ggCoUFH,10,HST-WWRHBRK,3.50,AE-0KMt0HE-X2WECGg3-eT3pWTy
AIR-OZVSFUVX,ytGagVC3-XEp3bai,4,HST-08PO2Z4,5.00,AE-TtYzBI6-6EbkIGUb-rFDHiGs
AIR-D65JXY94,Zcojhvhf-PwEQLTc,11,HST-WWRHBRK,5.00,AE-aFHZofB-ptoBT2Yz-BCcBKNo
